dt,request_cnt,total_color_kg,distinct_user_creators,distinct_colors
2024-11-20,5,53.30,2,5
2024-11-19,7,29.53,2,6
2024-11-18,7,5.96,3,7
2024-11-14,27,116.76,3,21
2024-11-13,4,3.69,3,4
2024-11-12,4,5.22,3,3
2024-11-11,17,152.28,3,10
2024-11-08,18,64.14,2,10
2024-11-07,1,0.62,1,1
2024-11-06,5,2.57,2,5
2024-11-05,12,42.27,4,11
2024-11-04,8,7.12,3,6
2024-10-30,9,31.63,3,9
2024-10-29,3,65.77,2,3
2024-10-28,2,3.71,2,2
2024-10-25,5,6.32,3,5
2024-10-24,2,31.71,2,2
2024-10-23,19,56.34,3,17
2024-10-22,12,63.82,3,9
2024-10-21,11,17.09,4,9
2024-10-18,2,18.71,1,2
2024-10-17,3,5.37,2,2
2024-10-16,13,39.26,3,11
2024-10-15,5,10.16,4,4
2024-10-14,8,101.89,2,6
2024-10-11,13,14.04,2,10
2024-10-10,6,64.17,2,5
2024-10-09,14,8.22,5,12
2024-10-08,7,47.56,3,7
2024-10-07,49,155.86,7,26
2024-10-03,1,12.05,1,1
2024-10-02,16,54.53,2,13
2024-10-01,4,1.53,2,4
2024-09-30,10,70.05,5,9
2024-09-27,14,39.24,4,11
2024-09-26,1,0.18,1,1
2024-09-25,4,144.37,2,4
2024-09-24,3,0.07,2,3
2024-09-23,21,100.44,4,13
2024-09-20,2,0.56,1,2
2024-09-19,16,94.19,3,12
2024-09-17,9,109.63,3,8
2024-09-16,16,26.99,3,13
2024-09-13,1,0.45,1,1
2024-09-11,8,4.66,3,8
2024-09-10,8,21.62,3,5
2024-09-06,8,46.56,3,7
2024-09-04,11,30.40,2,10
2024-09-03,20,148.27,6,11
2024-09-02,3,8.53,2,3
2024-08-30,7,1.33,2,3
2024-08-29,17,26.23,3,12
2024-08-28,3,13.10,2,2
2024-08-26,9,13.11,3,9
2024-08-21,7,16.87,1,7
2024-08-20,3,3.17,2,2
2024-08-19,35,52.28,6,17
2024-08-14,33,39.06,7,21
2024-08-13,16,134.60,3,12
2024-08-12,2,18.35,2,2
2024-08-09,1,0.00,1,1
2024-08-08,15,71.14,2,11
2024-08-07,22,64.78,3,17
2024-08-06,39,255.57,6,18
2024-08-05,41,113.89,4,23
2024-07-17,6,4.49,4,6
2024-07-16,13,51.87,3,8
2024-07-15,15,20.97,5,11
2024-07-12,41,48.65,2,37
2024-07-11,30,55.15,5,17
2024-07-10,14,13.93,2,11
2024-07-09,9,42.35,5,7
2024-07-08,2,1.76,2,2
2024-07-05,7,33.46,4,7
2024-07-04,3,4.36,2,3
2024-07-03,5,57.33,2,3
2024-07-02,25,99.46,4,20
2024-07-01,1,2.49,1,1
2024-06-28,5,36.60,3,4
2024-06-27,17,82.23,3,11
2024-06-26,23,137.97,5,17
2024-06-21,13,46.59,3,12
2024-06-20,11,64.90,3,9
2024-06-19,5,0.44,2,5
2024-06-18,11,17.39,4,9
2024-06-17,35,202.96,4,26
